Region_,Cluster_type_,Cluster-Name_,Start_,End_,Genes_total_,Completeness_crude glycerol pH4,Completeness_crude glycerol pH7,Completeness_pure glycerol pH7,Genes_expressed_crude glycerol pH4,Genes_expressed_crude glycerol pH7,Genes_expressed_pure glycerol pH7,Reads_total_crude glycerol pH4,Reads_total_crude glycerol pH7,Reads_total_pure glycerol pH7
contig_2,CDS,DUF4232_domain-containing_protein,1229574,1230273,1,100.0%,100.0%,100.0%,1,1,1,686,2077,1161
contig_2,CDS,DUF4232_domain-containing_protein,2747009,2747669,1,100.0%,100.0%,100.0%,1,1,1,1166,523,1092
contig_2,CDS,DUF4232_domain-containing_protein,3214609,3215146,1,100.0%,100.0%,100.0%,1,1,1,11348,689,1105
contig_2,CDS,DUF4232_domain-containing_protein,3614221,3615004,1,100.0%,100.0%,100.0%,1,1,1,96,96,153
contig_2,CDS,DUF4232_domain-containing_protein,3843354,3844044,1,100.0%,100.0%,100.0%,1,1,1,5,18,3
contig_2,CDS,DUF4232_domain-containing_protein,3844121,3844667,1,100.0%,100.0%,100.0%,1,1,1,17,60,48
contig_2,CDS,DUF4232_domain-containing_protein,4084987,4085812,1,100.0%,100.0%,100.0%,1,1,1,296,173,174
contig_2,CDS,DUF4232_domain-containing_protein,4088305,4088944,1,100.0%,100.0%,100.0%,1,1,1,460,478,287
contig_2,CDS,DUF4232_domain-containing_protein,4389750,4390401,1,100.0%,100.0%,100.0%,1,1,1,131,174,156
contig_2,CDS,DUF4232_domain-containing_protein,4402901,4403648,1,100.0%,100.0%,100.0%,1,1,1,520,104,98
contig_2,CDS,DUF4232_domain-containing_protein,4494046,4495390,1,100.0%,100.0%,100.0%,1,1,1,5749,2945,4170
contig_2,CDS,DUF4232_domain-containing_protein,4500100,4501159,1,100.0%,100.0%,100.0%,1,1,1,1062,50,76
contig_2,CDS,DUF4232_domain-containing_protein,4651529,4652366,1,100.0%,100.0%,100.0%,1,1,1,1049,572,771
contig_2,CDS,DUF4233_domain-containing_protein,2896611,2896962,1,100.0%,100.0%,100.0%,1,1,1,1586,667,528
contig_2,CDS,DUF4237_domain-containing_protein,5051935,5053564,1,100.0%,100.0%,100.0%,1,1,1,333,287,197
contig_2,CDS,DUF4239_domain-containing_protein,5018026,5018785,1,100.0%,100.0%,100.0%,1,1,1,1438,439,75
contig_2,CDS,DUF4240_domain-containing_protein,2459652,2460171,1,100.0%,0.0%,100.0%,1,0,1,25,0,19
contig_2,CDS,DUF4243_domain-containing_protein,3551903,3552956,1,100.0%,100.0%,100.0%,1,1,1,141,203,311
contig_2,CDS,DUF4244_domain-containing_protein,4540855,4541044,1,0.0%,100.0%,0.0%,0,1,0,0,2,0
contig_2,CDS,DUF4245_domain-containing_protein,5308305,5308815,1,100.0%,100.0%,100.0%,1,1,1,1726,613,1214
contig_2,CDS,DUF4253_domain-containing_protein,4001204,4001765,1,100.0%,100.0%,100.0%,1,1,1,1142,267,1082
contig_2,CDS,DUF4281_domain-containing_protein,1793205,1793658,1,100.0%,100.0%,100.0%,1,1,1,34,73,55
contig_2,CDS,DUF4287_domain-containing_protein,3384865,3385093,1,100.0%,100.0%,100.0%,1,1,1,1017,718,3919
contig_2,CDS,DUF4307_domain-containing_protein,5233904,5234321,1,100.0%,100.0%,100.0%,1,1,1,4382,660,1974
contig_2,CDS,DUF4328_domain-containing_protein,69772,70456,1,100.0%,100.0%,100.0%,1,1,1,338,410,125
contig_2,CDS,DUF4344_domain-containing_protein,252290,253145,1,100.0%,100.0%,100.0%,1,1,1,123,48,8
contig_2,CDS,DUF4350_domain-containing_protein,3286829,3288062,1,100.0%,100.0%,100.0%,1,1,1,887,324,285
contig_2,CDS,DUF4352_domain-containing_protein,3419109,3419901,1,100.0%,100.0%,100.0%,1,1,1,123,32,64
contig_2,CDS,DUF4365_domain-containing_protein,1688811,1689399,1,100.0%,100.0%,100.0%,1,1,1,1040,43,177
contig_2,CDS,DUF4383_domain-containing_protein,2650349,2651138,1,100.0%,100.0%,100.0%,1,1,1,1134,159,575
contig_2,CDS,DUF4386_domain-containing_protein,881443,882154,1,100.0%,0.0%,100.0%,1,0,1,32,0,56
contig_2,CDS,DUF4429_domain-containing_protein,2672136,2673015,1,100.0%,100.0%,100.0%,1,1,1,768,134,316
contig_2,CDS,DUF4440_domain-containing_protein,138437,138836,1,100.0%,100.0%,100.0%,1,1,1,2422,493,250
contig_2,CDS,DUF461_domain-containing_protein,4801513,4802131,1,100.0%,100.0%,100.0%,1,1,1,8248,5881,12280
contig_2,CDS,DUF475_domain-containing_protein,2659889,2661029,1,100.0%,100.0%,100.0%,1,1,1,7105,12971,13965
contig_2,CDS,DUF4760_domain-containing_protein,303012,303615,1,100.0%,100.0%,100.0%,1,1,1,403,35,67
contig_2,CDS,DUF47_domain-containing_protein,4721516,4722137,1,100.0%,100.0%,100.0%,1,1,1,3082,1631,1184
contig_2,CDS,DUF485_domain-containing_protein,3457999,3458320,1,100.0%,100.0%,0.0%,1,1,0,42,17,0
contig_2,CDS,DUF4865_domain-containing_protein,1490934,1491522,1,100.0%,100.0%,100.0%,1,1,1,330,107,137
contig_2,CDS,DUF501_domain-containing_protein,3399074,3399677,1,100.0%,100.0%,100.0%,1,1,1,640,423,172
contig_2,CDS,DUF5063_domain-containing_protein,4489195,4489858,1,100.0%,100.0%,100.0%,1,1,1,13023,3629,3298
contig_2,CDS,DUF5133_domain-containing_protein,108152,108380,1,100.0%,100.0%,100.0%,1,1,1,80,42,130
contig_2,CDS,DUF5133_domain-containing_protein,1414290,1414527,1,100.0%,0.0%,100.0%,1,0,1,16,0,15
contig_2,CDS,DUF5134_domain-containing_protein,1528784,1529381,1,100.0%,100.0%,100.0%,1,1,1,231,99,133
contig_2,CDS,DUF5304_domain-containing_protein,2392848,2393409,1,100.0%,100.0%,100.0%,1,1,1,412,616,597
contig_2,CDS,DUF5324_domain-containing_protein,4154743,4155466,1,100.0%,100.0%,100.0%,1,1,1,1691,2351,1657
contig_2,CDS,DUF5326_domain-containing_protein,4230958,4231186,1,100.0%,100.0%,100.0%,1,1,1,2501,1378,2035
contig_2,CDS,DUF541_domain-containing_protein,2252419,2253148,1,100.0%,100.0%,100.0%,1,1,1,768,597,644
contig_2,CDS,DUF551_domain-containing_protein,5192815,5193181,1,100.0%,100.0%,100.0%,1,1,1,501,253,1037
contig_2,CDS,DUF559_domain-containing_protein,2926923,2927949,1,100.0%,100.0%,100.0%,1,1,1,1885,1075,976
contig_2,CDS,DUF5666_domain-containing_protein,2904295,2905306,1,100.0%,100.0%,100.0%,1,1,1,3245,2482,3342
contig_2,CDS,DUF5667_domain-containing_protein,3853841,3855044,1,100.0%,100.0%,100.0%,1,1,1,50229,18449,5568
contig_2,CDS,DUF5682_domain-containing_protein,5043783,5046363,1,100.0%,100.0%,100.0%,1,1,1,1418,288,282
contig_2,CDS,DUF5691_domain-containing_protein,5039180,5040854,1,100.0%,100.0%,100.0%,1,1,1,995,101,279
contig_2,CDS,DUF5709_domain-containing_protein,5218267,5218555,1,100.0%,100.0%,100.0%,1,1,1,194,81,181
contig_2,CDS,DUF5819_domain-containing_protein,4124030,4124726,1,100.0%,100.0%,100.0%,1,1,1,693,264,205
contig_2,CDS,DUF58_domain-containing_protein,2354905,2356312,1,100.0%,100.0%,100.0%,1,1,1,1027,300,300
contig_2,CDS,DUF58_domain-containing_protein,3126516,3126822,1,100.0%,100.0%,100.0%,1,1,1,168,108,877
contig_2,CDS,DUF58_domain-containing_protein,3289017,3290328,1,100.0%,100.0%,100.0%,1,1,1,1285,1447,570
contig_2,CDS,DUF5954_domain-containing_protein,1055288,1056386,1,100.0%,100.0%,100.0%,1,1,1,698,489,218
contig_2,CDS,DUF5988_domain-containing_protein,5099274,5099484,1,100.0%,100.0%,0.0%,1,1,0,66,12,0
contig_2,CDS,DUF5994_domain-containing_protein,3995219,3995810,1,100.0%,100.0%,100.0%,1,1,1,207,37,328
contig_2,CDS,DUF5994_domain-containing_protein,4000408,4000933,1,100.0%,100.0%,100.0%,1,1,1,396,108,334
contig_2,CDS,DUF5994_domain-containing_protein,4035174,4035612,1,100.0%,100.0%,100.0%,1,1,1,89,42,26
contig_2,CDS,DUF5994_domain-containing_protein,4820521,4821046,1,100.0%,100.0%,100.0%,1,1,1,563,147,365
contig_2,CDS,DUF5995_domain-containing_protein,1593766,1594522,1,100.0%,100.0%,100.0%,1,1,1,30,19,146
contig_2,CDS,DUF5999_domain-containing_protein,1309807,1310053,1,100.0%,100.0%,100.0%,1,1,1,1368,919,375
contig_2,CDS,DUF6087_domain-containing_protein,4978066,4978387,1,100.0%,100.0%,100.0%,1,1,1,97,70,156
contig_2,CDS,DUF6114_domain-containing_protein,1253267,1253666,1,100.0%,100.0%,100.0%,1,1,1,61,3,34
contig_2,CDS,DUF6182_domain-containing_protein,917155,917899,1,100.0%,100.0%,100.0%,1,1,1,89,41,158
contig_2,CDS,DUF6243_domain-containing_protein,2556317,2556500,1,100.0%,100.0%,0.0%,1,1,0,5,36,0
contig_2,CDS,DUF6251_domain-containing_protein,4792221,4792614,1,100.0%,0.0%,100.0%,1,0,1,13,0,12
contig_2,CDS,DUF6257_domain-containing_protein,4791689,4791875,1,100.0%,100.0%,100.0%,1,1,1,21,7,9
contig_2,CDS,DUF6271_domain-containing_protein,867108,868440,1,100.0%,100.0%,0.0%,1,1,0,98,8,0
contig_2,CDS,DUF6274_domain-containing_protein,3903979,3904216,1,100.0%,100.0%,100.0%,1,1,1,393,362,632
contig_2,CDS,DUF6284_domain-containing_protein,2512278,2512521,1,0.0%,0.0%,0.0%,0,0,0,0,0,0
contig_2,CDS,DUF6284_domain-containing_protein,4795230,4795497,1,0.0%,100.0%,0.0%,0,1,0,0,2,0
contig_2,CDS,DUF6286_domain-containing_protein,2092150,2092828,1,0.0%,0.0%,0.0%,0,0,0,0,0,0
contig_2,CDS,DUF6292_domain-containing_protein,2518435,2518867,1,100.0%,100.0%,100.0%,1,1,1,21,22,63
contig_2,CDS,DUF6296_domain-containing_protein,375426,375657,1,100.0%,100.0%,100.0%,1,1,1,26,26,55
contig_2,CDS,DUF6300_domain-containing_protein,1426512,1426845,1,100.0%,100.0%,0.0%,1,1,0,10,34,0
contig_2,CDS,DUF6303_domain-containing_protein,805006,805402,1,100.0%,100.0%,100.0%,1,1,1,584,143,94
contig_2,CDS,DUF6303_domain-containing_protein,2512517,2512805,1,100.0%,0.0%,100.0%,1,0,1,25,0,11
contig_2,CDS,DUF6328_domain-containing_protein,897888,898293,1,100.0%,100.0%,0.0%,1,1,0,27,5,0
contig_2,CDS,DUF6333_domain-containing_protein,4911001,4911748,1,100.0%,100.0%,100.0%,1,1,1,1477,356,165
contig_2,CDS,DUF6421_domain-containing_protein,1518829,1520227,1,100.0%,100.0%,100.0%,1,1,1,6946,200,680
contig_2,CDS,DUF6459_domain-containing_protein,3268910,3269654,1,100.0%,100.0%,0.0%,1,1,0,7,2,0
contig_2,CDS,DUF6602_domain-containing_protein,3560865,3561672,1,100.0%,100.0%,100.0%,1,1,1,1821,882,1086
contig_2,CDS,DUF6643_domain-containing_protein,1477108,1477558,1,100.0%,100.0%,100.0%,1,1,1,820,247,425
contig_2,CDS,DUF664_domain-containing_protein,314230,314755,1,100.0%,100.0%,100.0%,1,1,1,910,137,238
contig_2,CDS,DUF664_domain-containing_protein,1124980,1125487,1,100.0%,100.0%,100.0%,1,1,1,299,226,127
contig_2,CDS,DUF664_domain-containing_protein,4585733,4586282,1,100.0%,100.0%,100.0%,1,1,1,473,246,516
contig_2,CDS,DUF6716_domain-containing_protein,5160294,5161602,1,100.0%,100.0%,100.0%,1,1,1,34,5,13
contig_2,CDS,DUF676_domain-containing_protein,4851793,4853023,1,100.0%,100.0%,100.0%,1,1,1,157,521,328
contig_2,CDS,DUF6879_domain-containing_protein,4980251,4980779,1,100.0%,100.0%,100.0%,1,1,1,1704,371,1286
contig_2,CDS,DUF6891_domain-containing_protein,2475849,2476755,1,100.0%,100.0%,100.0%,1,1,1,955,423,351
contig_2,CDS,DUF6895_domain-containing_protein,1165583,1166573,1,100.0%,0.0%,0.0%,1,0,0,30,0,0
contig_2,CDS,DUF6895_domain-containing_protein,1166569,1167514,1,100.0%,100.0%,0.0%,1,1,0,19,3,0
contig_2,CDS,DUF6917_domain-containing_protein,1561447,1561855,1,100.0%,100.0%,100.0%,1,1,1,8513,9763,5317
contig_2,CDS,DUF742_domain-containing_protein,1349368,1349782,1,100.0%,100.0%,100.0%,1,1,1,535,195,150
contig_2,CDS,DUF742_domain-containing_protein,1974467,1974809,1,100.0%,100.0%,100.0%,1,1,1,815,568,34
contig_2,CDS,DUF742_domain-containing_protein,2803714,2804077,1,100.0%,100.0%,100.0%,1,1,1,1416,2683,3876
contig_2,CDS,DUF742_domain-containing_protein,4895776,4896133,1,100.0%,100.0%,100.0%,1,1,1,340,745,598
contig_2,CDS,DUF881_domain-containing_protein,1319622,1320483,1,100.0%,100.0%,100.0%,1,1,1,1939,433,1244
contig_2,CDS,DUF881_domain-containing_protein,4151363,4152134,1,100.0%,100.0%,100.0%,1,1,1,1366,841,856
contig_2,CDS,DUF916_domain-containing_protein,3359567,3360644,1,100.0%,100.0%,100.0%,1,1,1,19,4,1
contig_2,CDS,DUF969_domain-containing_protein,1364265,1364976,1,100.0%,100.0%,100.0%,1,1,1,806,54,56
contig_2,CDS,DUF979_domain-containing_protein,1363300,1364269,1,100.0%,100.0%,100.0%,1,1,1,525,95,139
contig_2,CDS,DUF990_domain-containing_protein,3135521,3136316,1,100.0%,100.0%,100.0%,1,1,1,120,28,43
contig_2,CDS,DUF998_domain-containing_protein,2526247,2527012,1,100.0%,100.0%,100.0%,1,1,1,71,10,7
contig_2,CDS,DUF998_domain-containing_protein,3913981,3914185,1,100.0%,100.0%,100.0%,1,1,1,615,479,449
contig_2,CDS,DUF998_domain-containing_protein,4854112,4855093,1,100.0%,100.0%,0.0%,1,1,0,101,9,0
contig_2,CDS,Daunorubicin/doxorubicin_resistance_ABC_transporter_ATP-binding_protein_DrrA,2537750,2538788,1,100.0%,100.0%,100.0%,1,1,1,1044,3187,573
contig_2,CDS,Daunorubicin_resistance_protein_DrrA_family_ABC_transporter_ATP-binding_protein,4296267,4297263,1,100.0%,100.0%,100.0%,1,1,1,55,116,297
contig_2,CDS,Daunorubicin_resistance_protein_DrrA_family_ABC_transporter_ATP-binding_protein,5231184,5232201,1,100.0%,100.0%,100.0%,1,1,1,1078,779,829
contig_2,CDS,Deacetylase,4065059,4065857,1,100.0%,100.0%,100.0%,1,1,1,269,28,107
contig_2,CDS,Deaminase,3434399,3434933,1,100.0%,100.0%,100.0%,1,1,1,219,86,104
contig_2,CDS,Deazaflavin-dependent_nitroreductase,3625284,3625755,1,100.0%,100.0%,100.0%,1,1,1,8,5,20
contig_2,CDS,Decarboxylase,3096898,3097801,1,100.0%,100.0%,100.0%,1,1,1,10682,1759,2067
contig_2,CDS,DegV_family_protein,2852661,2853507,1,100.0%,100.0%,100.0%,1,1,1,974,166,596
contig_2,CDS,Dehydratase,1919170,1919632,1,100.0%,100.0%,100.0%,1,1,1,3116,747,3218
contig_2,CDS,Dehydrogenase,474922,475708,1,100.0%,100.0%,100.0%,1,1,1,27,9,109
contig_2,CDS,Dehydrogenase,559057,559837,1,100.0%,100.0%,100.0%,1,1,1,328,227,586
contig_2,CDS,Dehydrogenase,764896,766045,1,100.0%,100.0%,100.0%,1,1,1,1290,1365,1251
contig_2,CDS,Dehydrogenase,1178538,1179648,1,100.0%,100.0%,100.0%,1,1,1,275,46,109
contig_2,CDS,Dehydrogenase,3007856,3008891,1,100.0%,100.0%,100.0%,1,1,1,983,248,116
contig_2,CDS,Dehydrogenase,3542401,3543346,1,100.0%,100.0%,100.0%,1,1,1,243,86,68
contig_2,CDS,Dehydrogenase,3742912,3744175,1,100.0%,100.0%,100.0%,1,1,1,385,271,186
contig_2,CDS,Demethylrebeccamycin-D-glucose_O-methyltransferase,2600597,2601410,1,100.0%,100.0%,100.0%,1,1,1,195,393,773
contig_2,CDS,DeoR_family_transcriptional_regulator,96160,96931,1,100.0%,100.0%,100.0%,1,1,1,262,61,97
contig_2,CDS,DeoR_family_transcriptional_regulator,5198526,5199465,1,100.0%,100.0%,100.0%,1,1,1,76703,35140,6168
contig_2,CDS,Diacylglycerol_glucosyltransferase_N-terminal_domain-containing_protein,201902,203231,1,100.0%,100.0%,100.0%,1,1,1,254,65,95
contig_2,CDS,Diacylglycerol_kinase,3936885,3937962,1,100.0%,100.0%,100.0%,1,1,1,140,101,25
contig_2,CDS,Diaminopimelate_decarboxylase,3372895,3374230,1,100.0%,100.0%,100.0%,1,1,1,371,671,486
contig_2,CDS,Dicarboxylate-CoA_ligase_PimA,4334989,4336642,1,100.0%,100.0%,100.0%,1,1,1,3311,6486,15628
contig_2,CDS,Dienelactone_hydrolase,273325,274093,1,100.0%,100.0%,100.0%,1,1,1,1005,449,1698
contig_2,CDS,Dienelactone_hydrolase,2324250,2324874,1,100.0%,100.0%,100.0%,1,1,1,417,349,582
contig_2,CDS,Dienelactone_hydrolase,4326188,4326920,1,100.0%,100.0%,0.0%,1,1,0,21,29,0
contig_2,CDS,Dienelactone_hydrolase_domain-containing_protein,846664,846946,1,100.0%,100.0%,100.0%,1,1,1,72,125,60
contig_2,CDS,Diguanylate_cyclase,4937119,4938451,1,100.0%,100.0%,100.0%,1,1,1,473,319,24
contig_2,CDS,Diguanylate_cyclase,5214785,5215952,1,100.0%,100.0%,100.0%,1,1,1,313,123,165
contig_2,CDS,Diguanylate_cyclase/phosphodiesterase,1343139,1344903,1,100.0%,100.0%,100.0%,1,1,1,256,70,18
contig_2,CDS,Diguanylate_cyclase_CdgB,4833236,4834928,1,100.0%,100.0%,100.0%,1,1,1,23591,3410,2660
contig_2,CDS,Dihydrodipicolinate_synthase_family_protein,2549611,2550571,1,100.0%,100.0%,100.0%,1,1,1,104,73,94
contig_2,CDS,Dihydrodipicolinate_synthase_family_protein,3016155,3017340,1,100.0%,100.0%,100.0%,1,1,1,142,56,91
contig_2,CDS,Dihydrolipoamide_acetyltransferase_component_of_pyruvate_dehydrogenase_complex,4096663,4098130,1,100.0%,100.0%,100.0%,1,1,1,7628,9884,15163
contig_2,CDS,Dihydrolipoamide_acetyltransferase_component_of_pyruvate_dehydrogenase_complex,4113327,4114785,1,100.0%,100.0%,100.0%,1,1,1,1782,17,93
contig_2,CDS,Dihydroorotate_dehydrogenase,1856837,1857026,1,100.0%,100.0%,100.0%,1,1,1,1217,589,86
contig_2,CDS,Dioxygenase,1224912,1225752,1,100.0%,100.0%,100.0%,1,1,1,234,63,109
contig_2,CDS,Dioxygenase,1401553,1402657,1,100.0%,100.0%,100.0%,1,1,1,243,46,69
contig_2,CDS,Dioxygenase,4256316,4257666,1,100.0%,100.0%,100.0%,1,1,1,289,210,252
contig_2,CDS,Dipeptidase,1502119,1503478,1,100.0%,100.0%,100.0%,1,1,1,3858,2951,32591
contig_2,CDS,Dipeptidase,3348566,3349739,1,100.0%,100.0%,100.0%,1,1,1,6939,6305,8696
contig_2,CDS,Dipeptide_epimerase,591856,592906,1,100.0%,100.0%,100.0%,1,1,1,98,112,12346
contig_2,CDS,Disulfide_bond_formation_protein_B,412854,413487,1,100.0%,100.0%,100.0%,1,1,1,17,86,35
contig_2,CDS,Disulfide_bond_formation_protein_DsbA,2703509,2704184,1,100.0%,100.0%,100.0%,1,1,1,1172,1090,768
contig_2,CDS,Divalent_cation_tolerance_protein,2742436,2742916,1,100.0%,100.0%,100.0%,1,1,1,89,178,288
contig_2,CDS,Divalent_cation_tolerance_protein,5150311,5150644,1,100.0%,100.0%,100.0%,1,1,1,774,207,619
contig_2,CDS,Dolichol-P-glucose_synthetase-like_protein,1175028,1176060,1,100.0%,100.0%,100.0%,1,1,1,140,46,47
contig_2,CDS,Dolichyl-phosphate-mannose--protein_mannosyltransferase,3472598,3474338,1,100.0%,100.0%,100.0%,1,1,1,1578,365,602
contig_2,CDS,Double_zinc_ribbon_domain-containing_protein,3793837,3794149,1,100.0%,100.0%,100.0%,1,1,1,1621,540,566
contig_2,CDS,DoxX,525279,525813,1,100.0%,100.0%,100.0%,1,1,1,1,16,66
contig_2,CDS,DoxX-like_family,75418,75781,1,100.0%,100.0%,0.0%,1,1,0,12,10,0
contig_2,CDS,DoxX_family_protein,545417,545885,1,100.0%,100.0%,0.0%,1,1,0,51,1,0
contig_2,CDS,DoxX_family_protein,893742,894213,1,100.0%,100.0%,100.0%,1,1,1,156,36,18
contig_2,CDS,DoxX_family_protein,2645711,2646263,1,100.0%,100.0%,100.0%,1,1,1,152,22,26
contig_2,CDS,DoxX_family_protein,4437597,4438047,1,100.0%,0.0%,100.0%,1,0,1,10,0,35
contig_2,CDS,DoxX_family_protein,4808362,4809940,1,100.0%,100.0%,100.0%,1,1,1,8588,1313,292
contig_2,CDS,Dynein_regulation_protein_LC7,1349813,1350239,1,100.0%,100.0%,100.0%,1,1,1,1098,270,330
contig_2,CDS,Dynein_regulation_protein_LC7,2803289,2803718,1,100.0%,100.0%,100.0%,1,1,1,955,1601,2588
contig_2,CDS,Dynein_regulation_protein_LC7,4895366,4895780,1,100.0%,100.0%,100.0%,1,1,1,291,759,375
contig_2,CDS,"ECF_subfamily_RNA_polymerase_sigma_factor,_BldN_family",3852785,3853574,1,100.0%,100.0%,100.0%,1,1,1,44720,15559,278
contig_2,CDS,EF-hand_domain-containing_protein,4984208,4984658,1,100.0%,100.0%,100.0%,1,1,1,253,204,355
contig_2,CDS,ER-bound_oxygenase_mpaB/mpaB'/Rubber_oxygenase_catalytic_domain-containing_protein,1407878,1408793,1,100.0%,100.0%,100.0%,1,1,1,99,2,20
contig_2,CDS,ER-bound_oxygenase_mpaB/mpaB'/Rubber_oxygenase_catalytic_domain-containing_protein,1547289,1548456,1,100.0%,100.0%,100.0%,1,1,1,629,2729,319
contig_2,CDS,ESAT-6-like_protein,4466649,4466967,1,100.0%,100.0%,100.0%,1,1,1,904,722,1377
contig_2,CDS,ESX-1_secretion-associated_protein,5132552,5132864,1,100.0%,100.0%,100.0%,1,1,1,1190,278,320
contig_2,CDS,EamA_domain-containing_protein,29095,30034,1,100.0%,100.0%,100.0%,1,1,1,15959,35526,35428
contig_2,CDS,EamA_domain-containing_protein,1867624,1868521,1,100.0%,100.0%,100.0%,1,1,1,107,18,30
contig_2,CDS,EamA_domain-containing_protein,2935023,2935962,1,100.0%,100.0%,100.0%,1,1,1,808,756,1600
contig_2,CDS,EamA_family_transporter,1745157,1746111,1,100.0%,100.0%,100.0%,1,1,1,38,16,270
contig_2,CDS,EamA_family_transporter_RarD,3756057,3757098,1,100.0%,100.0%,100.0%,1,1,1,3025,3019,4596
contig_2,CDS,EbrA_repressor,2144504,2145068,1,100.0%,100.0%,100.0%,1,1,1,107,74,11
contig_2,CDS,EfeO-type_cupredoxin-like_domain-containing_protein,139620,140106,1,100.0%,100.0%,100.0%,1,1,1,29,10,17
contig_2,CDS,EfeO-type_cupredoxin-like_domain-containing_protein,610746,611226,1,100.0%,0.0%,0.0%,1,0,0,11,0,0
contig_2,CDS,Efflux_protein,2783698,2785156,1,100.0%,100.0%,100.0%,1,1,1,519,65,369
contig_2,CDS,Electron_transfer_flavoprotein_subunit_beta,1513272,1514061,1,100.0%,100.0%,100.0%,1,1,1,11843,11134,18106
contig_2,CDS,Elongation_factor_G-binding_protein_C-terminal_treble-clef_zinc-finger_domain-containing_protein,5134423,5134933,1,100.0%,100.0%,100.0%,1,1,1,794,306,307
contig_2,CDS,Elongation_factor_Tu-3,395803,396844,1,100.0%,100.0%,100.0%,1,1,1,164,317,772
contig_2,CDS,EmrB/QacA_family_drug_resistance_transporter,2628729,2630811,1,100.0%,100.0%,100.0%,1,1,1,646,76,85
contig_2,CDS,Enamine_deaminase_RidA,4567614,4568073,1,100.0%,100.0%,100.0%,1,1,1,402,146,89
contig_2,CDS,Endolytic_murein_transglycosylase,1645708,1647577,1,100.0%,100.0%,100.0%,1,1,1,5433,1635,900
contig_2,CDS,Endolytic_murein_transglycosylase,4267123,4267948,1,100.0%,100.0%,100.0%,1,1,1,150,263,183
contig_2,CDS,Endonuclease/exonuclease/phosphatase_domain-containing_protein,2140231,2142070,1,100.0%,100.0%,100.0%,1,1,1,1814,379,19
contig_2,CDS,Endonuclease/exonuclease/phosphatase_domain-containing_protein,2390958,2391777,1,100.0%,100.0%,100.0%,1,1,1,796,288,270
contig_2,CDS,Endonuclease/exonuclease/phosphatase_domain-containing_protein,2532932,2533952,1,100.0%,100.0%,100.0%,1,1,1,5906,1175,1690
contig_2,CDS,Endonuclease_NucS,4445612,4446719,1,100.0%,100.0%,100.0%,1,1,1,4139,2654,2816
contig_2,CDS,Enoyl-CoA_hydratase,614028,614862,1,100.0%,100.0%,100.0%,1,1,1,84,30,8
contig_2,CDS,Enoyl-CoA_hydratase,2094950,2095730,1,100.0%,100.0%,100.0%,1,1,1,59428,11229,17798
contig_2,CDS,Enoyl-CoA_hydratase,3618595,3619387,1,100.0%,100.0%,0.0%,1,1,0,24,25,0
contig_2,CDS,Enoyl-CoA_hydratase,3632918,3633752,1,100.0%,100.0%,0.0%,1,1,0,34,8,0
contig_2,CDS,Enoyl-CoA_hydratase,5213877,5214672,1,100.0%,100.0%,100.0%,1,1,1,389,188,166
contig_2,CDS,Enoyl_reductase_(ER)_domain-containing_protein,4059989,4060931,1,100.0%,100.0%,100.0%,1,1,1,39,55,263
contig_2,CDS,Epimerase,2460256,2461150,1,100.0%,100.0%,100.0%,1,1,1,256,195,160
contig_2,CDS,Epoxide_hydrolase,1428816,1429788,1,100.0%,100.0%,100.0%,1,1,1,182,822,333
contig_2,CDS,Erythromycin_esterase,160391,161732,1,100.0%,100.0%,100.0%,1,1,1,214,149,247
contig_2,CDS,Erythromycin_esterase,816255,817452,1,100.0%,100.0%,100.0%,1,1,1,276,330,424
contig_2,CDS,Esterase,216446,216929,1,0.0%,0.0%,0.0%,0,0,0,0,0,0
contig_2,CDS,Esterase,473828,474800,1,100.0%,100.0%,100.0%,1,1,1,105,28,641
contig_2,CDS,Esterase,510646,511633,1,100.0%,100.0%,100.0%,1,1,1,39,15,43
contig_2,CDS,Esterase,803081,804167,1,100.0%,100.0%,100.0%,1,1,1,894,525,705
contig_2,CDS,Esterase,1218776,1219442,1,100.0%,100.0%,100.0%,1,1,1,82,81,311
contig_2,CDS,Esterase,3790437,3791616,1,100.0%,100.0%,100.0%,1,1,1,2988,110,358
contig_2,CDS,Esterase,4066032,4067313,1,100.0%,100.0%,100.0%,1,1,1,56432,1687,2056
contig_2,CDS,Esterase,4455329,4456502,1,100.0%,100.0%,100.0%,1,1,1,3496,1753,4587
contig_2,CDS,Esterase,4603110,4604226,1,100.0%,100.0%,100.0%,1,1,1,68129,2774,7138
contig_2,CDS,Esterase,5028189,5029314,1,100.0%,100.0%,100.0%,1,1,1,36344,699,583
contig_2,CDS,Esterase/lipase,2389504,2390302,1,100.0%,100.0%,100.0%,1,1,1,5309,1370,2774
contig_2,CDS,Excisionase,4476715,4477015,1,100.0%,100.0%,100.0%,1,1,1,22,13,36
contig_2,CDS,"Excreted_virulence_factor_EspC,_type_VII_ESX_diderm",4405630,4406245,1,100.0%,100.0%,100.0%,1,1,1,454,283,27
contig_2,CDS,Exo-beta-D-glucosaminidase,4835192,4836089,1,100.0%,100.0%,100.0%,1,1,1,4068,3657,2509
contig_2,CDS,Exonuclease_SbcC,4437029,4437542,1,100.0%,0.0%,0.0%,1,0,0,25,0,0
contig_2,CDS,Exopolyphosphatase,3398136,3399078,1,100.0%,100.0%,100.0%,1,1,1,2266,1903,1382
