Species,Contigs,Accession,Status,TaxID
Streptomyces californicus,130,GCF_000715745.1,Scaffold,67351
Streptomyces californicus,542,GCF_042754825.1,Scaffold,67351
Streptomyces californicus,291,GCF_040637295.1,Scaffold,67351
Streptomyces californicus,173,GCA_000715715.1,Scaffold,67351
Streptomyces californicus,50,GCF_044328995.1,Scaffold,67351
Streptomyces californicus,5,GCF_016906205.1,Complete Genome,67351
Streptomyces californicus,364,GCF_042754925.1,Scaffold,67351
Streptomyces californicus,12,GCF_042892715.1,Scaffold,67351
Streptomyces californicus,39,GCF_043079845.1,Scaffold,67351
Streptomyces californicus,58,GCF_040609395.1,Scaffold,67351
Streptomyces californicus,22,GCF_043079945.1,Scaffold,67351
Streptomyces californicus,22,GCF_044332545.1,Scaffold,67351
Streptomyces californicus,183,GCF_042718375.1,Scaffold,67351
Streptomyces californicus,1,GCF_041014795.1,Complete Genome,67351
Streptomyces californicus,36,GCF_043089805.1,Scaffold,67351
Streptomyces californicus,157,GCF_042799175.1,Scaffold,67351
Streptomyces californicus,29,GCF_044757775.1,Scaffold,67351
Streptomyces californicus,50,GCF_020640855.1,Scaffold,67351
Streptomyces californicus,234,GCF_042718315.1,Scaffold,67351
Streptomyces californicus,59,GCF_040631565.1,Scaffold,67351
Streptomyces californicus,262,GCF_033441785.1,Scaffold,67351
Streptomyces californicus,34,GCF_042901945.1,Scaffold,67351
Streptomyces californicus,28,GCF_044547065.1,Scaffold,67351
Streptomyces californicus,21,GCF_044387015.1,Scaffold,67351
Streptomyces californicus,6,GCF_016906245.1,Complete Genome,67351
Streptomyces californicus,3,GCF_016906265.1,Complete Genome,67351
Streptomyces californicus,788,GCF_042734895.1,Scaffold,67351
Streptomyces californicus,26,GCF_042902485.1,Scaffold,67351
Streptomyces californicus,44,GCF_044756545.1,Scaffold,67351
Streptomyces californicus,46,GCF_042869965.1,Scaffold,67351
Streptomyces californicus,18,GCF_044386425.1,Scaffold,67351
Streptomyces californicus,38,GCF_042954885.1,Scaffold,67351
Streptomyces californicus,21,GCF_042955585.1,Scaffold,67351
Streptomyces californicus,41,GCF_044767285.1,Scaffold,67351
Streptomyces californicus,22,GCF_044756365.1,Scaffold,67351
Streptomyces calvus,751,GCA_031181405.1,Scaffold,67282
Streptomyces calvus,280,GCF_042678085.1,Scaffold,67282
Streptomyces calvus,42,GCF_014138735.1,Scaffold,67282
Streptomyces calvus,1,GCF_006716135.1,Complete Genome,67282
Streptomyces calvus,63,GCF_014649315.1,Scaffold,67282
Streptomyces calvus,34,GCF_043201935.1,Scaffold,67282
Streptomyces calvus,1,GCA_039536225.1,Scaffold,67282
Streptomyces camelliae,3,GCF_027625935.1,Complete Genome,3004093
Streptomyces camponoticapitis,83,GCF_014646115.1,Scaffold,1616125
Streptomyces canarius,272,GCF_014650735.1,Scaffold,285453
Streptomyces candidus,64,GCF_014207445.1,Scaffold,67283
Streptomyces candidus,69,GCF_014655855.1,Scaffold,67283
Streptomyces cangkringensis,376,GCF_039525885.1,Scaffold,114696
Streptomyces caniferus,143,GCF_040704395.1,Scaffold,285557
Streptomyces caniferus,1,GCF_036226425.1,Complete Genome,285557
Streptomyces caniferus,2,GCF_036178885.1,Complete Genome,285557
Streptomyces caniferus,72,GCF_040651275.1,Scaffold,285557
Streptomyces caniferus,151,GCF_039533305.1,Scaffold,285557
Streptomyces caniferus,1,GCF_036167175.1,Complete Genome,285557
Streptomyces caniferus,1,GCF_036124195.1,Complete Genome,285557
Streptomyces caniferus,48,GCF_044767515.1,Scaffold,285557
Streptomyces caniferus,82,GCF_043199975.1,Scaffold,285557
Streptomyces caniscabiei,40,GCF_033792205.1,Scaffold,2746961
Streptomyces caniscabiei,64,GCF_014930355.1,Scaffold,2746961
Streptomyces caniscabiei,73,GCF_014930365.1,Scaffold,2746961
Streptomyces caniscabiei,74,GCF_033793215.1,Scaffold,2746961
Streptomyces caniscabiei,95,GCF_033793205.1,Scaffold,2746961
Streptomyces caniscabiei,65,GCF_014852675.1,Scaffold,2746961
Streptomyces caniscabiei,190,GCF_033793265.1,Scaffold,2746961
Streptomyces caniscabiei,77,GCF_014930415.1,Scaffold,2746961
Streptomyces caniscabiei,69,GCF_014852655.1,Scaffold,2746961
Streptomyces caniscabiei,1401,GCF_002155725.1,Scaffold,2746961
Streptomyces caniscabiei,76,GCF_033794645.1,Scaffold,2746961
Streptomyces caniscabiei,90,GCF_014930395.1,Scaffold,2746961
Streptomyces caniscabiei,41,GCF_033792405.1,Scaffold,2746961
Streptomyces caniscabiei,1,GCF_014852565.2,Complete Genome,2746961
Streptomyces caniscabiei,100,GCF_033793285.1,Scaffold,2746961
Streptomyces caniscabiei,75,GCF_033794825.1,Scaffold,2746961
Streptomyces caniscabiei,66,GCF_014930405.1,Scaffold,2746961
Streptomyces caniscabiei,85,GCF_033793185.1,Scaffold,2746961
Streptomyces caniscabiei,1566,GCF_002155765.1,Scaffold,2746961
Streptomyces caniscabiei,94,GCF_033794785.1,Scaffold,2746961
Streptomyces canus,89,GCF_040652295.1,Scaffold,58343
Streptomyces canus,1,GCF_036237135.1,Complete Genome,58343
Streptomyces canus,1,GCA_036226725.1,Complete Genome,58343
Streptomyces canus,1,GCF_036197725.1,Complete Genome,58343
Streptomyces canus,2,GCF_036227285.1,Complete Genome,58343
Streptomyces canus,49,GCF_042872125.1,Scaffold,58343
Streptomyces canus,2,GCF_045206245.1,Complete Genome,58343
Streptomyces canus,119,GCF_042872065.1,Scaffold,58343
Streptomyces canus,1,GCF_036226545.1,Complete Genome,58343
Streptomyces canus,39,GCF_042753715.1,Scaffold,58343
Streptomyces canus,204,GCF_042749905.1,Scaffold,58343
Streptomyces canus,5,GCF_041435015.1,Complete Genome,58343
Streptomyces canus,126,GCF_040674275.1,Scaffold,58343
Streptomyces canus,1,GCF_045160145.1,Complete Genome,58343
Streptomyces canus,52,GCF_043200095.1,Scaffold,58343
Streptomyces canus,2,GCF_045041285.1,Complete Genome,58343
Streptomyces canus,1,GCF_045039975.1,Complete Genome,58343
Streptomyces canus,69,GCF_040613815.1,Scaffold,58343
Streptomyces canus,160,GCF_040613795.1,Scaffold,58343
Streptomyces canus,46,GCF_042957565.1,Scaffold,58343
Streptomyces canus,2,GCF_036177905.1,Complete Genome,58343
Streptomyces canus,81,GCF_040612055.1,Scaffold,58343
Streptomyces canus,94,GCF_043200315.1,Scaffold,58343
Streptomyces canus,116,GCF_040611275.1,Scaffold,58343
Streptomyces canus,54,GCF_042958565.1,Scaffold,58343
Streptomyces canus,78,GCF_001514145.1,Scaffold,58343
Streptomyces canus,1,GCF_049949105.1,Complete Genome,58343
Streptomyces canus,2,GCF_045207405.1,Complete Genome,58343
Streptomyces canus,116,GCF_000383615.1,Scaffold,1172183
Streptomyces canus,3,GCF_036110805.1,Complete Genome,58343
Streptomyces canus,2,GCF_035918175.1,Complete Genome,58343
Streptomyces canus,1,GCF_045207135.1,Complete Genome,58343
Streptomyces canus,1,GCF_045207065.1,Complete Genome,58343
Streptomyces canus,2,GCF_045207015.1,Complete Genome,58343
Streptomyces canus,1,GCF_045206945.1,Complete Genome,58343
Streptomyces canus,47,GCF_001514045.1,Scaffold,58343
Streptomyces canus,3,GCF_045041025.1,Complete Genome,58343
Streptomyces canus,63,GCF_042958625.1,Scaffold,58343
Streptomyces canus,139,GCF_040629335.1,Scaffold,58343
Streptomyces canus,1,GCF_045040845.1,Complete Genome,58343
Streptomyces canus,2,GCF_045162685.1,Complete Genome,58343
Streptomyces canus,54,GCF_044766285.1,Scaffold,58343
Streptomyces capillispiralis,69,GCF_014656315.1,Scaffold,68182
Streptomyces capillispiralis,177,GCF_042734495.1,Scaffold,68182
Streptomyces capitiformicae,1,GCF_002214185.1,Chromosome,2014920
Streptomyces capitiformicae,163,GCF_014653855.1,Scaffold,2014920
Streptomyces capoamus,28,GCF_049538675.1,Scaffold,68183
Streptomyces capoamus,147,GCF_014654935.1,Scaffold,68183
Streptomyces capoamus,144,GCF_040492035.1,Scaffold,68183
Streptomyces carminius,71,GCF_002794255.1,Scaffold,2665496
Streptomyces carpaticus,1,GCF_025133285.1,Complete Genome,285558
Streptomyces carpaticus,57,GCF_039533325.1,Scaffold,285558
Streptomyces carpinensis,2286,GCA_040299915.1,Scaffold,66369
Streptomyces carpinensis,824,GCF_002154505.1,Scaffold,66369
Streptomyces castrisilvae,4,GCF_030719295.1,Complete Genome,3033811
Streptomyces catenulae,53,GCF_040636875.1,Scaffold,66875
Streptomyces cathayae,2,GCF_029760955.1,Complete Genome,3031124
Streptomyces cavernae,131,GCF_004023625.1,Scaffold,2259034
Streptomyces caviscabies,23,GCF_042665405.1,Scaffold,90079
Streptomyces cavourensis,23,GCF_030027225.1,Scaffold,67258
Streptomyces cavourensis,1,GCF_024297125.1,Complete Genome,67258
Streptomyces cavourensis,63,GCF_046506605.1,Scaffold,67258
Streptomyces cavourensis,66,GCF_014649215.1,Scaffold,67258
Streptomyces cavourensis,1,GCF_003352445.1,Complete Genome,67258
Streptomyces cavourensis,2,GCF_026642235.1,Complete Genome,67258
Streptomyces cavourensis,22,GCF_019798105.1,Scaffold,67258
Streptomyces cavourensis,2,GCF_024365045.1,Complete Genome,67258
Streptomyces cavourensis,1,GCF_002804165.1,Complete Genome,67258
Streptomyces cellostaticus,129,GCF_001513965.1,Scaffold,67285
Streptomyces celluloflavus,200,GCF_042802455.1,Scaffold,58344
Streptomyces celluloflavus,478,GCF_042802175.1,Scaffold,58344
Streptomyces celluloflavus,184,GCF_042794715.1,Scaffold,58344
Streptomyces celluloflavus,85,GCF_042887195.1,Scaffold,58344
Streptomyces celluloflavus,124,GCF_040646835.1,Scaffold,58344
Streptomyces celluloflavus,49,GCF_044327665.1,Scaffold,58344
Streptomyces celluloflavus,186,GCF_042730595.1,Scaffold,58344
Streptomyces celluloflavus,61,GCF_044327905.1,Scaffold,58344
Streptomyces celluloflavus,1,GCF_035977975.1,Complete Genome,58344
Streptomyces cellulosae,42,GCA_042900725.1,Scaffold,1968
Streptomyces cellulosae,41,GCA_049542035.1,Scaffold,1968
Streptomyces cellulosae,1,GCA_045208935.1,Complete Genome,1968
Streptomyces cellulosae,179,GCA_049316205.1,Scaffold,1968
Streptomyces cellulosae,40,GCA_049316225.1,Scaffold,1968
Streptomyces cellulosae,62,GCA_049543655.1,Scaffold,1968
Streptomyces cellulosae,1,GCA_035917615.1,Complete Genome,1968
Streptomyces cellulosae,40,GCA_049538615.1,Scaffold,1968
Streptomyces cellulosae,2,GCA_036249765.1,Complete Genome,1968
Streptomyces cellulosae,3,GCA_036249465.1,Complete Genome,1968
Streptomyces cellulosae,71,GCA_049543675.1,Scaffold,1968
Streptomyces cellulosae,80,GCA_040303385.1,Scaffold,1968
Streptomyces cellulosae,115,GCA_042733475.1,Scaffold,1968
Streptomyces cellulosae,68,GCA_049541955.1,Scaffold,1968
Streptomyces cellulosae,73,GCA_049541475.1,Scaffold,1968
Streptomyces cellulosae,1,GCA_036249245.1,Complete Genome,1968
Streptomyces cellulosae,165,GCA_040680285.1,Scaffold,1968
Streptomyces cellulosae,2,GCA_045277045.1,Complete Genome,1968
Streptomyces cellulosae,138,GCA_040630125.1,Scaffold,1968
Streptomyces cellulosae,2,GCA_045277035.1,Complete Genome,1968
Streptomyces cellulosae,2,GCA_045277025.1,Complete Genome,1968
Streptomyces cellulosae,1,GCA_045276975.1,Complete Genome,1968
Streptomyces cellulosae,546,GCA_040678675.1,Scaffold,1968
Streptomyces cellulosae,69,GCA_040678615.1,Scaffold,1968
Streptomyces cellulosae,59,GCA_049541535.1,Scaffold,1968
Streptomyces cellulosae,48,GCA_049541515.1,Scaffold,1968
Streptomyces cellulosae,65,GCA_040678475.1,Scaffold,1968
Streptomyces cellulosae,59,GCA_040678415.1,Scaffold,1968
Streptomyces cellulosae,3,GCA_045210035.1,Complete Genome,1968
Streptomyces cellulosae,1,GCA_035917735.1,Complete Genome,1968
Streptomyces cellulosae,1,GCA_035917715.1,Complete Genome,1968
Streptomyces cellulosae,2,GCA_035917635.1,Complete Genome,1968
Streptomyces cellulosae,28,GCA_049538635.1,Scaffold,1968
Streptomyces cellulosae,64,GCA_049543075.1,Scaffold,1968
Streptomyces cellulosae,65,GCA_040611055.1,Scaffold,1968
Streptomyces cellulosae,5,GCA_041438645.1,Complete Genome,1968
Streptomyces cellulosae,3,GCA_036227045.1,Complete Genome,1968
Streptomyces cellulosae,100,GCF_042803975.1,Scaffold,1968
Streptomyces cellulosae,461,GCA_042732525.1,Scaffold,1968
Streptomyces cellulosae,59,GCA_043080795.1,Scaffold,1968
Streptomyces cellulosae,295,GCF_042804095.1,Scaffold,1968
Streptomyces cellulosae,1,GCA_036346015.1,Complete Genome,1968
Streptomyces cellulosae,68,GCA_049543615.1,Scaffold,1968
Streptomyces cellulosae,77,GCA_040609035.1,Scaffold,1968
Streptomyces cellulosae,74,GCA_040703415.1,Scaffold,1968
Streptomyces cellulosae,59,GCA_040299665.1,Scaffold,1968
Streptomyces cellulosae,28,GCA_049543795.1,Scaffold,1968
Streptomyces cellulosae,56,GCA_040703475.1,Scaffold,1968
Streptomyces cellulosae,57,GCA_040299685.1,Scaffold,1968
Streptomyces cellulosae,60,GCA_049543695.1,Scaffold,1968
Streptomyces cellulosae,4,GCA_036248335.1,Complete Genome,1968
Streptomyces cellulosae,78,GCA_040643915.1,Scaffold,1968
Streptomyces cellulosae,64,GCF_044453725.1,Scaffold,1968
Streptomyces cellulosae,76,GCA_040611015.1,Scaffold,1968
Streptomyces cellulosae,31,GCA_049538795.1,Scaffold,1968
Streptomyces cellulosae,51,GCA_049539035.1,Scaffold,1968
Streptomyces cellulosae,29,GCA_049538895.1,Scaffold,1968
Streptomyces cellulosae,77,GCA_040610885.1,Scaffold,1968
Streptomyces cellulosae,59,GCA_040680255.1,Scaffold,1968
Streptomyces cellulosae,45,GCA_049543095.1,Scaffold,1968
Streptomyces cellulosae,113,GCA_042717825.1,Scaffold,1968
Streptomyces cellulosae,19,GCA_049538915.1,Scaffold,1968
Streptomyces changanensis,2,GCF_024600715.1,Complete Genome,2964669
Streptomyces chartreusis,1041,GCF_042790075.1,Scaffold,1969
Streptomyces chartreusis,31,GCF_040680835.1,Scaffold,1969
Streptomyces chartreusis,2,GCF_036345055.1,Complete Genome,1969
Streptomyces chartreusis,1,GCF_008704715.1,Complete Genome,1969
Streptomyces chartreusis,1,GCF_013375055.1,Complete Genome,1969
Streptomyces chartreusis,88,GCF_042677565.1,Scaffold,1969
Streptomyces chartreusis,91,GCF_044741765.1,Scaffold,1969
Streptomyces chartreusis,202,GCF_040687255.1,Scaffold,1969
Streptomyces chartreusis,87,GCF_044542875.1,Scaffold,1969
Streptomyces chartreusis,260,GCF_044768475.1,Scaffold,1969
Streptomyces chartreusis,64,GCF_043200735.1,Scaffold,1969
Streptomyces chartreusis,45,GCF_042261295.1,Scaffold,1969
Streptomyces chartreusis,106,GCF_042667845.1,Scaffold,1969
Streptomyces chartreusis,146,GCF_042263445.1,Scaffold,1969
Streptomyces chartreusis,53,GCF_040687655.1,Scaffold,1969
Streptomyces chartreusis,87,GCF_044741785.1,Scaffold,1969
Streptomyces chartreusis,126,GCF_042262885.1,Scaffold,1969
Streptomyces chartreusis,82,GCF_042799935.1,Scaffold,1969
Streptomyces chartreusis,34,GCF_042726715.1,Scaffold,1969
Streptomyces chartreusis,94,GCF_042891675.1,Scaffold,1969
Streptomyces chartreusis,14,GCF_044749705.1,Scaffold,1969
Streptomyces chartreusis,43,GCF_043076455.1,Scaffold,1969
Streptomyces chartreusis,89,GCF_000226455.1,Scaffold,1079986
Streptomyces chartreusis,81,GCF_042723165.1,Scaffold,1969
Streptomyces chartreusis,127,GCF_042725345.1,Scaffold,1969
Streptomyces chartreusis,4,GCF_045207395.1,Complete Genome,1969
Streptomyces chartreusis,43,GCF_014650315.1,Scaffold,1969
Streptomyces chartreusis,5,GCF_045207345.1,Complete Genome,1969
Streptomyces chartreusis,49,GCF_043199365.1,Scaffold,1969
Streptomyces chartreusis,531,GCF_042880335.1,Scaffold,1969
Streptomyces chartreusis,22,GCF_042874595.1,Scaffold,1969
Streptomyces chartreusis,623,GCF_042801875.1,Scaffold,1969
Streptomyces chartreusis,79,GCF_040677035.1,Scaffold,1969
Streptomyces chartreusis,18,GCF_042891585.1,Scaffold,1969
Streptomyces chartreusis,171,GCF_040613635.1,Scaffold,1969
Streptomyces chartreusis,1,GCF_036010565.1,Complete Genome,1969
Streptomyces chartreusis,333,GCF_040644515.1,Scaffold,1969
Streptomyces chartreusis,29,GCF_042726035.1,Scaffold,1969
Streptomyces chartreusis,54,GCF_042732775.1,Scaffold,1969
Streptomyces chartreusis,3246,GCF_000226435.1,Scaffold,1079985
Streptomyces chartreusis,1,GCF_900236475.1,Complete Genome,1079985
Streptomyces chartreusis,1,GCF_900236505.1,Complete Genome,1079985
Streptomyces chartreusis,56,GCF_044327955.1,Scaffold,1969
Streptomyces chartreusis,36,GCF_043077605.1,Scaffold,1969
Streptomyces chartreusis,107,GCF_040653335.1,Scaffold,1969
Streptomyces chartreusis,49,GCF_040650875.1,Scaffold,1969
Streptomyces chattanoogensis,53,GCF_042896485.1,Scaffold,66876
Streptomyces chattanoogensis,28,GCF_042897175.1,Scaffold,66876
Streptomyces chengbuensis,6,GCF_030406905.1,Complete Genome,3053466
Streptomyces chengmaiensis,146,GCF_029846775.1,Scaffold,3040919
Streptomyces chiangmaiensis,374,GCF_039536645.1,Scaffold,766497
Streptomyces chilikensis,181,GCF_040652995.1,Scaffold,1194079
Streptomyces chilikensis,197,GCF_001642695.1,Scaffold,1194079
Streptomyces chitinivorans,177,GCF_039540175.1,Scaffold,1257027
Streptomyces chlorus,176,GCF_042655885.1,Scaffold,887452
Streptomyces chrestomyceticus,67,GCF_044388525.1,Scaffold,68185
Streptomyces chrestomyceticus,83,GCF_040646755.1,Scaffold,68185
Streptomyces chrestomyceticus,447,GCF_040646735.1,Scaffold,68185
Streptomyces chrestomyceticus,66,GCF_040646635.1,Scaffold,68185
Streptomyces chrestomyceticus,72,GCF_040646575.1,Scaffold,68185
Streptomyces chrestomyceticus,35,GCF_040641895.1,Scaffold,68185
Streptomyces chrestomyceticus,52,GCF_042888205.1,Scaffold,68185
Streptomyces chrestomyceticus,68,GCF_036562025.1,Scaffold,68185
Streptomyces chromofuscus,1,GCF_015160875.1,Complete Genome,42881
Streptomyces chromofuscus,99,GCF_014649435.1,Scaffold,42881
Streptomyces chryseus,169,GCF_014650855.1,Scaffold,68186
Streptomyces chumphonensis,39,GCF_042685165.1,Scaffold,1214925
Streptomyces chumphonensis,50,GCF_039543805.1,Scaffold,1214925
Streptomyces cinereoruber,25,GCF_040495315.1,Scaffold,67260
Streptomyces cinereoruber,180,GCF_042669805.1,Scaffold,67260
Streptomyces cinereoruber,299,GCF_042667105.1,Scaffold,67260
Streptomyces cinereoruber,1,GCF_009299385.1,Complete Genome,67260
Streptomyces cinereoruber,27,GCF_014649095.1,Scaffold,67260
Streptomyces cinereoruber,28,GCF_049538855.1,Scaffold,67260
Streptomyces cinereoruber,47,GCF_049538955.1,Scaffold,67260
Streptomyces cinereoruber,37,GCF_049543755.1,Scaffold,67260
Streptomyces cinereoruber,428,GCF_040750195.1,Scaffold,67260
Streptomyces cinereoruber,359,GCF_042797515.1,Scaffold,67260
Streptomyces cinereoruber,774,GCF_042670585.1,Scaffold,67260
Streptomyces cinereoruber,72,GCF_049541655.1,Scaffold,67260
Streptomyces cinereoruber,155,GCF_042670645.1,Scaffold,67260
Streptomyces cinereoruber,272,GCF_042670625.1,Scaffold,67260
Streptomyces cinereoruber,148,GCF_042670685.1,Scaffold,67260
Streptomyces cinereoruber,45,GCF_049539075.1,Scaffold,67260
Streptomyces cinereoruber,126,GCF_042723455.1,Scaffold,67260
Streptomyces cinereoruber,23,GCF_014197485.1,Scaffold,67260
Streptomyces cinereoruber,26,GCF_049539195.1,Scaffold,67260
Streptomyces cinereoruber,36,GCF_042667545.1,Scaffold,67260
Streptomyces cinereoruber,128,GCF_042668325.1,Scaffold,67260
Streptomyces cinereoruber,30,GCF_042668525.1,Scaffold,67260
Streptomyces cinereoruber,30,GCF_049543255.1,Scaffold,67260
Streptomyces cinereoruber,215,GCF_042667485.1,Scaffold,67260
Streptomyces cinereoruber,66,GCF_042668815.1,Scaffold,67260
Streptomyces cinereoruber,965,GCF_042667385.1,Scaffold,67260
Streptomyces cinereoruber,76,GCF_049316265.1,Scaffold,67260
Streptomyces cinereoruber,122,GCF_042667135.1,Scaffold,67260
Streptomyces cinereospinus,176,GCF_042657225.1,Scaffold,285561
Streptomyces cinereospinus,219,GCF_042430725.1,Scaffold,285561
Streptomyces cinerochromogenes,57,GCF_042901005.1,Scaffold,66422
Streptomyces cinerochromogenes,63,GCF_014648635.1,Scaffold,66422
Streptomyces cinerochromogenes,161,GCF_040611415.1,Scaffold,66422
Streptomyces cinerochromogenes,56,GCF_043201225.1,Scaffold,66422
Streptomyces cinnabarinus,325,GCA_000715615.1,Scaffold,67287
Streptomyces cinnabarinus,1,GCF_027270315.1,Complete Genome,67287
Streptomyces cinnamoneus,71,GCF_040630055.1,Scaffold,53446
Streptomyces cinnamoneus,109,GCF_014650495.1,Scaffold,53446
Streptomyces cinnamoneus,124,GCA_040644555.1,Scaffold,53446
Streptomyces cinnamoneus,98,GCF_044388485.1,Scaffold,53446
Streptomyces cinnamoneus,56,GCF_040629925.1,Scaffold,53446
Streptomyces cinnamoneus,453,GCF_001885705.1,Scaffold,53446
Streptomyces cinnamoneus,148,GCA_040674015.1,Scaffold,53446
Streptomyces citrinus,2,GCF_036967205.1,Complete Genome,3118173
Streptomyces clavifer,167,GCF_042733015.1,Scaffold,68188
Streptomyces clavifer,60,GCF_042871465.1,Scaffold,68188
Streptomyces clavifer,54,GCF_044330665.1,Scaffold,68188
Streptomyces clavifer,191,GCF_040677875.1,Scaffold,68188
Streptomyces clavifer,3,GCF_036345975.1,Complete Genome,68188
Streptomyces clavifer,141,GCF_040641695.1,Scaffold,68188
Streptomyces clavifer,174,GCF_040298525.1,Scaffold,68188
Streptomyces clavifer,99,GCF_040607835.1,Scaffold,68188
Streptomyces clavifer,2,GCF_041431075.1,Complete Genome,68188
Streptomyces clavifer,165,GCF_014651175.1,Scaffold,68188
Streptomyces clavifer,190,GCF_040608475.1,Scaffold,68188
Streptomyces clavifer,52,GCF_044765125.1,Scaffold,68188
Streptomyces clavifer,70,GCF_044765545.1,Scaffold,68188
Streptomyces clavifer,46,GCF_043204475.1,Scaffold,68188
Streptomyces clavifer,42,GCF_040683795.1,Scaffold,68188
Streptomyces clavuligerus,158,GCF_000154925.1,Scaffold,1901
Streptomyces clavuligerus,2,GCF_001693675.1,Complete Genome,1901
Streptomyces clavuligerus,3,GCF_015767915.1,Complete Genome,1901
Streptomyces clavuligerus,3,GCF_015767815.1,Complete Genome,1901
Streptomyces clavuligerus,2,GCF_015767735.1,Complete Genome,1901
Streptomyces clavuligerus,5,GCF_015767755.1,Complete Genome,1901
Streptomyces clavuligerus,4,GCF_015708605.1,Complete Genome,1901
Streptomyces clavuligerus,5,GCF_028752555.1,Complete Genome,1901
Streptomyces clavuligerus,2,GCF_015767775.1,Complete Genome,1901
Streptomyces clavuligerus,3,GCF_015767795.1,Complete Genome,1901
Streptomyces clavuligerus,2,GCF_000163875.1,Chromosome,1901
Streptomyces clavuligerus,3,GCA_015767835.1,Complete Genome,1901
Streptomyces clavuligerus,2,GCF_015767855.1,Complete Genome,1901
Streptomyces clavuligerus,3,GCF_003454755.1,Complete Genome,1901
Streptomyces clavuligerus,5,GCF_000148465.1,Chromosome,1901
Streptomyces clavuligerus,2,GCF_015767895.1,Complete Genome,1901
Streptomyces clavuligerus,2,GCF_015767875.1,Complete Genome,1901
Streptomyces clavuligerus,2,GCF_005519465.1,Complete Genome,1901
Streptomyces clavuligerus,2,GCF_015767935.1,Complete Genome,1901
Streptomyces coacervatus,64,GCF_039539465.1,Scaffold,647381
Streptomyces coelicoflavus,461,GCF_042734225.1,Scaffold,285562
Streptomyces coelicoflavus,49,GCF_044749225.1,Scaffold,285562
Streptomyces coelicoflavus,407,GCF_042673495.1,Scaffold,285562
Streptomyces coelicoflavus,47,GCF_040702885.1,Scaffold,285562
Streptomyces coelicoflavus,3,GCF_045041415.1,Complete Genome,285562
Streptomyces coelicoflavus,128,GCF_042794295.1,Scaffold,285562
Streptomyces coelicoflavus,232,GCF_042668695.1,Scaffold,285562
Streptomyces coelicoflavus,29,GCF_042729175.1,Scaffold,285562
Streptomyces coelicoflavus,46,GCF_042751195.1,Scaffold,285562
Streptomyces coelicoflavus,35,GCF_042874455.1,Scaffold,285562
Streptomyces coelicoflavus,128,GCF_042734165.1,Scaffold,285562
Streptomyces coelicoflavus,89,GCF_042729235.1,Scaffold,285562
Streptomyces coelicoflavus,48,GCF_042734285.1,Scaffold,285562
Streptomyces coelicoflavus,73,GCF_040299005.1,Scaffold,285562
Streptomyces coelicoflavus,89,GCF_042719515.1,Scaffold,285562
Streptomyces coelicoflavus,82,GCF_042792775.1,Scaffold,285562
Streptomyces coelicoflavus,4,GCF_036101175.1,Complete Genome,285562
Streptomyces coelicolor,62,GCF_008124915.1,Scaffold,100226
Streptomyces coelicolor,1,GCA_031192905.1,Complete Genome,1902
Streptomyces coelicolor,65,GCF_008124975.1,Scaffold,1902
Streptomyces coelicolor,1,GCA_046245115.1,Complete Genome,1902
Streptomyces coelicolor,65,GCF_008124985.1,Scaffold,1902
Streptomyces coelicolor,64,GCF_008125035.1,Scaffold,1902
Streptomyces coelicolor,3,GCF_000203835.1,Complete Genome,100226
Streptomyces coelicolor,1,GCA_031192925.1,Complete Genome,1902
Streptomyces coelicolor,62,GCF_008124905.1,Scaffold,1902
Streptomyces coelicolor,1,GCF_013317105.1,Complete Genome,1902
Streptomyces coelicolor,1,GCF_008931305.1,Complete Genome,100226
Streptomyces coelicolor,1,GCA_021654815.1,Complete Genome,1902
Streptomyces coelicolor,2,GCA_047824265.1,Complete Genome,1902
Streptomyces coeruleofuscus,34,GCF_039532725.1,Scaffold,66879
Streptomyces coeruleoprunus,75,GCF_042431185.1,Scaffold,285563
Streptomyces coeruleoprunus,32,GCF_042652065.1,Scaffold,285563
Streptomyces coeruleorubidus,45,GCF_040611215.1,Scaffold,116188
Streptomyces coeruleorubidus,25,GCF_044327815.1,Scaffold,116188
Streptomyces coeruleorubidus,22,GCF_042900365.1,Scaffold,116188
Streptomyces coeruleorubidus,73,GCF_014649195.1,Scaffold,116188
Streptomyces coeruleorubidus,114,GCF_043089105.1,Scaffold,116188
Streptomyces coeruleorubidus,35,GCF_044388905.1,Scaffold,116188
Streptomyces coeruleorubidus,1,GCF_028885415.1,Complete Genome,116188
Streptomyces coeruleorubidus,45,GCF_040645935.1,Scaffold,116188
Streptomyces coeruleorubidus,45,GCF_040631815.1,Scaffold,116188
Streptomyces coeruleorubidus,47,GCF_044751085.1,Scaffold,116188
Streptomyces coeruleorubidus,105,GCF_040643395.1,Scaffold,116188
Streptomyces coeruleorubidus,63,GCF_014649455.1,Scaffold,116188
Streptomyces coeruleorubidus,85,GCF_042726355.1,Scaffold,116188
Streptomyces coeruleorubidus,74,GCF_040641915.1,Scaffold,116188
Streptomyces coeruleorubidus,1,GCF_008705135.1,Complete Genome,116188
Streptomyces coeruleorubidus,47,GCF_044328705.1,Scaffold,116188
Streptomyces coeruleorubidus,116,GCF_040611855.1,Scaffold,116188
Streptomyces coeruleorubidus,2,GCF_033216215.1,Complete Genome,116188
Streptomyces coeruleorubidus,40,GCF_044328385.1,Scaffold,116188
Streptomyces coerulescens,66,GCF_042657965.1,Scaffold,29304
Streptomyces collinus,114,GCF_040608895.1,Scaffold,42684
